
53,	Nom_de_la_personne,							Name_of_Individual
53,	Titre_du_poste,								Position_Title
53,	Nombre_de_mois,								Number_of_Months
53,	Salaires_et_honoraires,							Remuneration
53,	Autres_rémunérations,							Remuneration
53,	Frais_de_voyage,							Expenses

76,	Name_NA,								Name_of_Individual
76,	Fonction,								Position_Title
76,	Nombre_de_mois,								Number_of_Months
76,	Salaires,								Remuneration
76,	Autres_rémunérations,							Remuneration
76,	Advantages_sociaux,							Remuneration*
76,	Frais_de_voyage,							Expenses

77,	Nom,									Name_of_Individual
77,	Titre_du_poste,								Position_Title
77,	Nombre_de_mois/semaines,						Number_of_Months*
77,	Salaires,								Remuneration
77,	Frais_de_voyage,							Expenses

127,	Chief_and_Councillors,							Name_of_Individual
127,	Title_NA,								Position_Title
127,	Number_of_Months,							Number_of_Months
127,	Remuneration,								Remuneration
127,	Expenses,								Expenses

167,	Name_NA,								Name_of_Individual
167,	Title_NA,								Position_Title
167,	#_of_Months,								Number_of_Months
167,	Salary,									Remuneration
167,	Benefits,								Remuneration
167,	Honoraria,								Remuneration
167,	Travel,									Expenses

179,	Name_of_Individual,							Name_of_Individual
179,	Position_Title,								Position_Title
179,	Number_of_Months,							Number_of_Months
179,	Remuneration,								Remuneration
179,	Expenses,								Expenses

200,	Chief_and_Council,							Name_of_Individual
200,	Title_NA,								Position_Title
200,	Number_of_Months,							Number_of_Months
200,	Remuneration,								Remuneration
200,	Expenses,								Expenses

222,	Name_of_Individual,							Name_of_Individual
222,	Position_Title,								Position_Title
222,	Number_of_Months,							Number_of_Months
222,	Salary,									Remuneration
222,	Honoraria,								Remuneration
222,	Other_Remuneration,							Remuneration
222,	Travel_Expenses,							Expenses

225,	Name_of_Individual,							Name_of_Individual
225,	Position/Title,								Position_Title
225,	Number_of_Months,							Number_of_Months
225,	Remuneration,								Remuneration
225,	Expenses,								Expenses

260,	Name_NA,								Name_of_Individual
260,	Position,								Position_Title
260,	Number_of_Months,							Number_of_Months
260,	Remuneration,								Remuneration
260,	Expenses,								Expenses

265,	Name_NA,								Name_of_Individual
265,	Position,								Position_Title
265,	Number_of_Months,							Number_of_Months
265,	Remuneration,								Remuneration
265,	Expenses,								Expenses

271,	Name,									Name_of_Individual
271,	Position,								Position_Title
271,	Number_of_Months,							Number_of_Months
271,	Remuneration,								Remuneration
271,	Expenses,								Expenses

286,	Name_NA,								Name_of_Individual
286,	Title_NA,								Position_Title
286,	Months,									Number_of_Months
286,	Remuneration,								Remuneration
286,	Expenses,								Expenses

294,	Name_NA,								Name_of_Individual
294,	Title_NA,								Position_Title
294,	Months,									Number_of_Months
294,	Remuneration,								Remuneration
294,	Expenses,								Expenses

347,	Chief_and_Council,							Name_of_Individual
347,	Title_NA,								Position_Title
347,	#_of_Months,								Number_of_Months
347,	Salary,									Remuneration
347,	Reimbursed_Travel,							Expenses
347,	Other,									Remuneration*

348,	Elected_Officials,							Name_of_Individual
348,	Title_NA,								Position_Title
348,	No._of_Months,								Number_of_Months
348,	Salaries,								Remuneration
348,	Honoraria,								Remuneration
348,	Other_Honorarium,							Remuneration
348,	Travel_&_Meetings,							Expenses
348,	Other_Remuneration,							Remuneration

350,	Name,									Name_of_Individual
350,	Position,								Position_Title
350,	Months_in_Position,							Number_of_Months
350,	Salary_and_Honoraria,							Remuneration
350,	Travel,									Expenses
350,	Other,									Remuneration*

362,	Chief_and_Council,							Name_of_Individual
362,	Title_NA,								Position_Title
362,	Months,									Number_of_Months
362,	Remuneration,								Remuneration
362,	Pension_and_Benefits,							Remuneration
362,	Travel,									Expenses

374,	Name_of_Individual,							Name_of_Individual
374,	Position_Title,								Position_Title
374,	Number_of_Months,							Number_of_Months
374,	Salary,									Remuneration
374,	Honoraria,								Remuneration
374,	Other_Remuneration,							Remuneration
374,	Travel_Expenses,							Expenses

375,	Name,									Name_of_Individual
375,	Designation,								Position_Title
375,	Months,									Number_of_Months
375,	Salary,									Remuneration
375,	Benefits,								Remuneration
375,	Travel,									Expenses
375,	Living_Allowance,							Expenses
375,	Telephone,								Expenses

377,	Name_NA,								Name_of_Individual
377,	Title_NA,								Position_Title
377,	Number_of_Months,							Number_of_Months
377,	Salary,									Remuneration
377,	Other_Remuneration,							Remuneration
377,	Travel,									Expenses

386,	Name_NA,								Name_of_Individual
386,	Title_NA,								Position_Title
386,	Months,									Number_of_Months
386,	Honorariums,								Remuneration
386,	Travel/Meetings,							Expenses
386,	Owned_Entity_Travel/Meetings,						Expenses

391,	Name_NA,								Name_of_Individual
391,	Title_NA,								Position_Title
391,	Months,									Number_of_Months
391,	Honorarium,								Remuneration
391,	Travel,									Expenses
391,	GGDLP_&_TLE_Per_diems,							Expenses

431,	Name_of_Individual,							Name_of_Individual
431,	Position_Title,								Position_Title
431,	#_of_Months,								Number_of_Months
431,	Remuneration,								Remuneration
431,	Travel__Meetings_&_Other_Expenses,					Expenses

436,	Name_NA,								Name_of_Individual
436,	Title_NA,								Position_Title
436,	Months,									Number_of_Months
436,	Honoraria,								Remuneration
436,	Travel,									Expenses

437,	Name_NA,								Name_of_Individual
437,	Title_NA,								Position_Title
437,	Months,									Number_of_Months
437,	Consultation,								Remuneration
437,	Travel,									Expenses
437,	Other,									Remuneration*

444,	Name_of_Individual,							Name_of_Individual
444,	Position_Title,								Position_Title
444,	Number_of_Months,							Number_of_Months
444,	Remuneration,								Remuneration
444,	Expenses,								Expenses

446,	Name_NA,								Name_of_Individual
446,	Title_NA,								Position_Title
446,	Number_of_Months,							Number_of_Months
446,	Remuneration,								Remuneration
446,	Expenses,								Expenses

447,	Name_NA,								Name_of_Individual
447,	Title_NA,								Position_Title
447,	Number_of_Months,							Number_of_Months
447,	Remuneration,								Remuneration
447,	Expenses,								Expenses

448,	Name_NA,								Name_of_Individual
448,	Title_NA,								Position_Title
448,	Number_of_Months,							Number_of_Months
448,	Remuneration,								Remuneration
448,	Expenses,								Expenses

452,	Chief_and_Council,							Name_of_Individual
452,	Title_NA,								Position_Title
452,	Months,									Number_of_Months
452,	Remuneration,								Remuneration
452,	Travel,									Expenses

457,	Chief_and_Council,							Name_of_Individual
457,	Title_NA,								Position_Title
457,	Number_of_Months,							Number_of_Months
457,	Salary_and_Honoraria,							Remuneration
457,	Travel_and_Other,							Expenses

478,	Chief_and_Council,							Name_of_Individual
478,	Title_NA,								Position_Title
478,	#_of_Months,								Number_of_Months
478,	Salary_and_Honoraria,							Remuneration
478,	Other_Remuneration,							Remuneration
478,	Cell_Phone_Allowance,							Expenses
478,	Travel_Expenses,							Expenses

501,	Name_of_Individual,							Name_of_Individual
501,	Position_Title,								Position_Title
501,	Number_of_Months,							Number_of_Months
501,	Remuneration,								Remuneration
501,	Travel_Expenses,							Expenses

530,	Council,								Name_of_Individual
530,	Title_NA,								Position_Title
530,	Term,									Number_of_Months
530,	Salaries,								Remuneration
530,	Other,									Remuneration*
530,	Honoraria,								Remuneration
