Acting_as_an_Elected_Official , Remuneration
Acting_as_an_Officer , Remuneration
Actual_Salary , Remuneration
Administration , Name_of_Individual
Advance_Receivable , Expenses*
Advantages_sociaux , Remuneration*
Allowances , Expenses
Annual_Salary , Remuneration
Autres_rémunérations , Remuneration
Autres_services , Remuneration*
Band_Council_Honoraria , Remuneration
Band_Council , Name_of_Individual
Band_Council_Salaried_Position , Position_Title
Band_Salary , Remuneration
Base_Salary , Remuneration
Benefits_for_all_Staff , Remuneration
Benefits , Remuneration
Board_Director_Fees , Remuneration*
Board_Travel_&_Honoraria , Expenses
Bonuses , Remuneration
Budget , Drop*
Bus_Contract , Remuneration
Business_Entities_Expenses , Expenses
Business_Entities_Remuneration , Remuneration
Business_Entity_Travel , Expenses
Business_Services , Remuneration
Cell_Allowance , Expenses
Cell_Phone_Allowance , Expenses
Cell_Phone , Expenses
Cellular , Expenses
Cellular_Telephone_Allowance , Expenses
Chef_et_conseillers , Name_of_Individual
Chefs_et_conseillers , Name_of_Individual
Chief_and_Councillor_Remuneration , Remuneration
Chief_and_Councillors , Name_of_Individual
Chief_and_Council_Members , Name_of_Individual
Chief_and_Council , Name_of_Individual
Chief_and_Council_Travel_&_Per_Diem , Expenses
Chief/Council_Member , Name_of_Individual
Chief_&_Council_Travel , Expenses
Christmas_Bonus , Remuneration
Community_Representing , Drop
Consultation , Remuneration
Contractor_Payments_&_Rent , Remuneration
Contractor_receipts , Remuneration
Contract , Remuneration
Contracts , Remuneration
Council_Honoraria , Remuneration
Council_Member , Name_of_Individual
Council , Name_of_Individual
Council_Travel , Expenses
Cree_Land_Mini-Mart_Limited_Partnership_Expense , Expenses
Cree_Land_Mini-Mart_Limited_Partnership_Per_diem , Expenses
Dene_Resources , Remuneration
Designation , Position_Title
Duration_(Months) , Number_of_Months
Economic_Development_Salary , Remuneration
Education , Remuneration*
Elected , Name_of_Individual
Elected_Official , Position_Title
Elected_Officials , Name_of_Individual
Elected_or_Appointed_Officials , Name_of_Individual
Employment_Salary , Remuneration
Expenses , Expenses
Expenses_(Federal_Government_Funds) , Expenses
Expenses_in_Other_Remuneration , Expenses
Expenses/Mileage_and_Accomodation , Expenses
Expenses_NA , Expenses
Expenses_(Own_Source_Revenue) , Expenses
Expenses_Reimbursed_as_part_of_Other_Remuneration , Expenses
Expenses_Reimbursed_as_part_of_other_Remuneration , Expenses
Expenses_Reimbursed_as_part_of_Other_Remuneration_Travel , Expenses
Expenses_Reimbursed_as_part_of_other_Remuneration_TRAVEL , Expenses
Expenses_Reimbursed_as_part_of_Training_Remuneration , Expenses
Expenses_Reimbursed , Expenses
Expenses_(Woodland_Cree_First_Nation) , Expenses
Expenses_(Woodland_Cree_First_Nation_Group_of_Companies) , Expenses
First_Nation_Administration , Name_of_Individual
First_Nation_Expenses , Expenses
First_Nation_Remuneration , Remuneration
Flights/Meals/Accommodations , Expenses
Fonction , Position_Title
Frais_de_déplacement , Expenses
Frais_dé_deplacements , Expenses
Frais_de_déplacements , Expenses
Frais_de_voyage , Expenses
Frais_de_voyages_et_de_garde , Expenses
Frais_de_Voyages , Expenses
Frais_de_voyages , Expenses
Fuel_Allowance , Expenses
GGDLP_&_TLE_Per_diems , Expenses
Government_Remuneration , Remuneration
Gross_Pay_2014 , Remuneration
Health , Remuneration
Honoraire , Remuneration
Honoraires_de_fonction , Remuneration
Honoraires , Remuneration
Honoraires_salaires , Remuneration
