
53,			Nation_Micmac_de_Gespeg,	Raymond_Chabot_Grant_Thornton
Nom_de_la_personne,	Titre_du_poste,	Nombre_de_mois,	Salaires_et_honoraires,	Autres_rémunérations,	Frais_de_voyage
Basque_Johanne,		Conseillére,	12,		13780,			28157,			1445
Jean_Johanne,		Conseillére,	12,		13780,			12098,			1292
Jeannotte_Manon,	Conseillére,	12,		13780,			12569,			4424
Shaw_Terry,		Conseiller,	12,		12562,			39823,			4411
Basque_Danny,		Conseiller,	12,		13780,			0,			12159
Jeannotte_Claude,	Chef,		12,		28600,			33800,			22890
Langlois_Kevin,		Conseiller,	12,		13780,			13280,			2015
Jeannotte_Monique,	Conseillére,	12,		13780,			0,			0

76,				Pekuakamiulnuatsh_Takuhikan,	Deloitte_LLP
Name_NA,			Fonction,				Nombre_de_mois,	Salaires,	Autres_rémunérations,	Advantages_sociaux,	Frais_de_voyage
Dominique_Gilbert,		Chef,					10,		79105,		0,			12755,			12142
Moar_Clifford,			Chef,					2,		17275,		7973,			2870,			2108
Bégin_Florent,			Vice-chef,				2,		15590,		4863,			3002,			2713
Buckell_Johanna,		Conseillére_délégué,			2,		12929,		3614,			3050,			60
Courtois_Gilbert,		Vice-chef,				2,		10309,		8518,			285,			0
Courtois_Patrick,		Conseiller,				10,		45297,		4589,			9265,			1658
Éfienne_Marjolaine,		Vice-chef_aux_affaires_extrérieures,	10,		45297,		4704,			7669,			10359
Germain_Jonathan,		Conseiller,				10,		45297,		4589,			9242,			2983
Germain_Stéphane,		Vice-chef_aux_relations_communautaires,	10,		45297,		4704,			8141,			1191
Poul_Jean-Claude,		Conseiller_délégué,			2,		12459,		4892,			2096,			0
Robertson_Nelson,		Conseiller_délégué,			2,		12929,		6304,			2176,			698
Roussaau_Julie,			Conseillére,				10,		45297,		4589,			9100,			7990
Tremblay_Jeannine,		Conseillér_délégué,			2,		12929,		12520,			2488,			0
Verreauilt_Charles-Edouard,	Conseiller,				10,		45297,		4589,			9217,			3012

77,			Conseil_des_Atikamekw_de_Wemotaci,	Deloitte_LLP
Nom,			Titre_du_poste,	Nombre_de_mois/semaines,	Salaires,	Frais_de_voyage
David_Boivin,		Chef,		12/52,				55351,		4553
Maryse_Awashish,	Vice-chef,	5__5/22,			14059,		521
Viviannc_Chilton,	Conseillére,	12/52,				36890,		1878
Alissa_Niquay,		Conseillére,	12/52,				30166,		452
Lina_Petiquay,		Conseillére,	12/52,				34193,		0
Christian_Boivin,	Conseiller,	12/52,				36822,		2232
Dany_Chilton,		Conseiller,	12/52,				89285,		22507
Guy_Laloche,		Conseiller,	4/16,				13645,		669

127,			Lac_la_Croix_First_Nation,	Holukoff_Chiarella
Chief_and_Councillors,	Title_NA,	Number_of_Months,	Remuneration,	Expenses
Michael_Ottertaii,	Councillor,	12,			49560,		3837
Curtis_Atattise,	Councillor,	12,			46880,		2249
Norman_Jordan,		Chief,		12,			72842,		29115
Jerry_Ottertaii,	Councillor,	12,			59400,		4807
Robert_Atattise,	Councillor,	12,			52928,		7405

167,			Moravian_of_the_Thames_First_Nation,	Collins_Barrow_LLP
Name_NA,		Title_NA,	#_of_Months,	Salary,	Benefits,	Honoraria,	Travel
Greg_Peters,		Chief,		12,		54600,	5854,		0,		14908
Gord_Peters,		Council,	12,		0,	1889,		5775,		350
Philip_Snake,		Council,	12,		0,	0,		11697,		517
Cam_Stonefish,		Council,	NA,		0,	1574,		8575,		3357
Tracey_Whiteye,		Council,	NA,		0,	1574,		12443,		3329
Denise_Stonefish,	Council,	NA,		0,	1574,		6000,		972
Jody_Joseph,		Council,	12,		0,	315,		1575,		1108
Diana_Cryle,		Council,	12,		0,	315,		4055,		186
Virgil_Tobias,		Council,	12,		0,	315,		1575,		533

179,			Sagamok_Anishnawbek,	KPMG_LLP
Name_of_Individual,	Position_Title,	Number_of_Months,	Remuneration,	Expenses
Eshkakogan_Paul,	Chief,		12,			78008,		39866
Hardisty_Jacey,		Councillor,	12,			16400,		2845
Jones_Roger,		Councillor,	12,			19498,		12646
Owl_Brian_J,		Councillor,	12,			17300,		1284
Ozawanimke_Alan,	Councillor,	12,			17025,		2620
Solomon_Lawrence_Sr,	Councillor,	12,			18461,		14445
Southwind_Edward,	Councillor,	12,			17725,		1627
Southwind_Orion_Sr,	Councillor,	12,			16050,		855
Toulouse_Angus,		Councillor,	12,			45600,		9831
Toulouse_Kenneth,	Councillor,	12,			17625,		12177
Toulouse_Michelle,	Councillor,	12,			17675,		3089
Toulouse_Nelson,	Councillor,	12,			15350,		5607
Trudeau_Mary_Ann,	Councillor,	12,			16100,		991

200,			Mississauga_First_Nation,	BDO_Canada_LLP,		*
Chief_and_Council,	Title_NA,	Number_of_Months,	Remuneration,	Expenses
Reginald_Niganobe,	Chief,		12,			52000,		23835
Wilma_Bissiallon,	Councillor,	12,			12400,		1136
Aleisa_Boyer,		Councillor,	12,			58059,		7268
Robert_Chiblow,		Councillor,	12,			12000,		2363
Roger_A_Boyer_II,	Councillor,	12,			12000,		0
Terri-Lynn_Chiblow,	Councillor,	12,			21940,		3001
Wanda_Boyer,		Councillor,	12,			38769,		3438
Yvette_Moffatt,		Councillor,	12,			40364,		2506
Connie_Morningslar,	Councillor,	12,			12000,		217
Evelyn_Niganobe,	Councillor,	12,			59748,		3203

222,			Temagami_First_Nation,	BDO_Canada_LLP
Name_of_Individual,	Position_Title,	Number_of_Months,	Salary,	Honoraria,	Other_Remuneration,	Travel_Expenses
Roxane_Ayotte,		Chief,		12,			0,	63750,		0,			22922
Joseph_Katt,		Second_Chief,	12,			27300,	9375,		989,			1868
Steve_Laronde,		Councillor,	12,			40040,	3600,		10388,			9350
Torn_Mathias,		Councillor,	6,			19400,	2700,		0,			4514
Doug_McKenzie,		Councillor,	12,			58240,	2850,		535,			11067
Steve_Missabie,		Councillor,	6,			0,	5025,		0,			488
Jesse_Paul,		Councillor,	1,			1966,	1200,		0,			276
Annette_Polson,		Councillor,	12,			33670,	3750,		4374,			7460
Jamie_Saville,		Councillor,	12,			30940,	1575,		4007,			854

225,			Michipicoten_First_Nation,	BDO_Canada_LLP
Name_of_Individual,	Position/Title,	Number_of_Months,	Remuneration,	Expenses
Joe_Buckell,		Chief,		12,			80692,		14760
William_Swanson,	Councillor,	12,			15364,		162
Myrtle_Swanson,		Councillor,	12,			19714,		20308
Irene_Armstrong,	Councillor,	12,			14464,		1204
Linda_Peterson,		Councillor,	12,			65780,		693
Donald_Humphries,	Councillor,	12,			14414,		1089
Patricia_R_Tangle,	Councillor,	12,			14314,		1859

260,			Black_River_First_Nation,	MNP_LLP
Name_NA,		Position,	Number_of_Months,	Remuneration,	Expenses
Frank_Abraham,		Chief,		8,			41002,		13884
Sheldon_Kent,		Chief,		4,			23429,		4511
Nelson_Bird,		Councillor,	12,			58383,		10504
Rhonda_Abraham,		Councillor,	12,			54454,		13745
Jonas_Peebles,		Councillor,	4,			26919,		9095
Brian_Henderson,	Councillor,	8,			34866,		6374

265,			Buffalo_Point_First_Nation,	MNP_LLP
Name_NA,		Position,					Number_of_Months,	Remuneration,	Expenses
John_Thunder,		Chief_and_CEO,					12,			116918,		12480
Herman_Green,		Councillor_and_Program_Manager,			12,			96443,		6826
Drew_Thunder,		Councillor_and_Assistant_Superintendent,	12,			61507,		951
Jim_Thunder,		Honorary_Councillor,				12,			5500,		0

271,			Lake_Manitoba_Treaty_2_First_Nation,	Collins_Barrow_LLP
Name,			Position,	Number_of_Months,	Remuneration,	Expenses
Barry_Swan,		Chief,		12,			57200,		23811
Florence_McLean,	Councillor,	12,			40000,		21108
Elmer_Maytwayashing,	Councillor,	12,			40000,		19234
Kevin_Swan,		Councillor,	12,			40000,		19553
Cornell_McLean,		Councillor,	12,			40000,		23522

286,			Keeseekoowenin_First_Nation,	Lazer_Grant_LLP
Name_NA,		Title_NA,	Months,	Remuneration,	Expenses
James_Plewak,		Chief,		12,	62000,		10768
Marjorie_Blackbird,	Councillor,	12,	39500,		4542
Barry_Bone,		Councillor,	12,	47500,		7814
Bryan_Bone,		Councillor,	12,	37500,		9933
Yolanda_Williams,	Councillor,	12,	38500,		14435

294,			Gambler_First_Nation,	Lazer_Grant_LLP
Name_NA,		Title_NA,	Months,	Remuneration,	Expenses
David_Ledoux,		Chief,		12,	20163,		6217
Nathan_Tanner,		Councillor,	9,	17207,		4222
Kelly_Tanner,		Councillor,	9,	12830,		1977
Roy_Vermette,		Councillor,	3,	5141,		0
Ronnie_Ducharme,	Councillor,	3,	0,		28

347,			Saulteaux_First_Nation,	MNP_LLP
Chief_and_Council,	Title_NA,	#_of_Months,	Salary,	Reimbursed_Travel,	Other
Velma_Night,		Chief,		1,		5130,	70,			0
